name,reviewrate,reviewdate,reviewtext
The Lord of the Rings: The Fellowship of the Ring,8/10,15 December 2023,This ain't Meet the Feebles
The Lord of the Rings: The Fellowship of the Ring,10/10,13 December 2023,Men will watch this movie for as long as there are men to watch it.
The Lord of the Rings: The Fellowship of the Ring,8/10,11 December 2023,The Beginning of Something Extraordinary
The Lord of the Rings: The Fellowship of the Ring,9/10,8 December 2023,Shame on me for not watching it till now!
The Lord of the Rings: The Fellowship of the Ring,1/10,6 December 2023,Movie is to literal in adapting the book
The Lord of the Rings: The Fellowship of the Ring,10/10,6 December 2023,Most precioussss
The Lord of the Rings: The Return of the King,9/10,3 January 2024,THE BEST OF ALL TIME
The Lord of the Rings: The Return of the King,10/10,1 January 2024,The triumphant conclusion to a cinematic journey that redefined the epic fantasy genre
The Lord of the Rings: The Return of the King,10/10,31 December 2023,The Lord of the Rings: The Return of the King
The Lord of the Rings: The Return of the King,10/10,31 December 2023,Best movie ever
The Lord of the Rings: The Return of the King,9/10,31 December 2023,I love it!
The Lord of the Rings: The Return of the King,5/10,30 December 2023,Lord of the Sophomores
The Lord of the Rings: The Return of the King,10/10,22 December 2023,One of the greatest movies of all time!
The Lord of the Rings: The Return of the King,10/10,19 December 2023,A MA ZING
The Lord of the Rings: The Return of the King,sandihina,18 December 2023,I have read the trilogy twice and parts several times. I know what a scholar Tolkien was and admire his work in linguistics as well as storytelling. The two entities do not ne
The Lord of the Rings: The Return of the King,10/10,17 December 2023,"""All we have to decide is what to do with the time that is given us"""
The Dark Knight Rises,9/10,2 January 2024,I love it!
The Dark Knight Rises,7/10,27 December 2023,A fitting finale
The Dark Knight Rises,8/10,24 December 2023,A great story gets a great end!
The Dark Knight Rises,7/10,15 December 2023,"Cool Bane. Forced Story at Moments, but Brilliant Finale."
The Dark Knight Rises,2/10,2 December 2023,The Dark Knight Rises
The Dark Knight Rises,9/10,29 November 2023,"An absolute, emotional epic rollercoaster."
The Dark Knight Rises,9/10,24 November 2023,The only movie series that isn't bad
The Dark Knight Rises,8/10,23 November 2023,Some of scene in movie discusting.
The Dark Knight Rises,7/10,15 November 2023,Best Instalment to the Trilogy
The Dark Knight Rises,9/10,13 November 2023,Always a splendid Batman.
The Lord of the Rings: The Two Towers,7/10,3 January 2024,Damn.....
The Lord of the Rings: The Two Towers,wwwatifshahzad,28 December 2023,The Lord of the Rings: The Two Towers mention for mj it compny
The Lord of the Rings: The Two Towers,9/10,14 December 2023,This is an amazing series.
The Lord of the Rings: The Two Towers,10/10,12 December 2023,WOW!
The Lord of the Rings: The Two Towers,9/10,30 November 2023,good
The Lord of the Rings: The Two Towers,9/10,28 November 2023,The Two Towers
The Lord of the Rings: The Two Towers,10/10,25 November 2023,Magnificent Magnificent
The Lord of the Rings: The Two Towers,10/10,25 November 2023,Great adventure
The Lord of the Rings: The Two Towers,10/10,24 November 2023,A Great Fantasy
The Lord of the Rings: The Two Towers,10/10,23 November 2023,"Very good movie, with a great story, it is difficult to let it go."
Gladiator,10/10,3 January 2024,Wow. Just Wow.
Gladiator,10/10,31 December 2023,Legendary Movie
Gladiator,6/10,31 December 2023,Dreary spectacle
Gladiator,10/10,30 December 2023,Absolute Cinematic Excellence
Gladiator,6/10,29 December 2023,Gladiator: A Grand Spectacle Marred by Simplistic Characterization
Gladiator,10/10,29 December 2023,Spot on. Had Rome's colosseum ever been in use.
Gladiator,6/10,26 December 2023,"Old fashioned in 2000, even more so in 2023"
Gladiator,9/10,26 December 2023,A Multidimensional Perspective of a Mostly Timeless & Memorable Movie
Gladiator,8/10,23 December 2023,"""Are you not entertained?"""
Gladiator,3/10,14 December 2023,"""Hollywoodized"" and Unnecessary Artificial Action Drama"
Batman Begins,8/10,23 December 2023,Batman returns.
Batman Begins,8/10,22 December 2023,Batman done right!
Batman Begins,8/10,21 December 2023,A Gritty and Grounded Reimagining of the Batman Legend
Batman Begins,10/10,20 December 2023,In batman begins
Batman Begins,9/10,19 December 2023,atman Begins: A Dark and Riveting Rebirth of the Caped Crusader
Batman Begins,6/10,12 December 2023,Teaches kids to be idiots
Batman Begins,8/10,10 December 2023,The movie that changed the world of Batman!!!
Batman Begins,10/10,28 November 2023,One Super-Hero Film With Tremendous Depth!
Batman Begins,7/10,15 November 2023,Brilliant Beginning to the Trilogy
Batman Begins,6/10,10 November 2023,Love Batman Forever
The Avengers,10/10,27 December 2023,This is why I love Marvel Movies
The Avengers,6/10,23 December 2023,Blockbuster or not
The Avengers,7/10,23 December 2023,Enjoyable superhero ensemble piece
The Avengers,8/10,20 December 2023,My rewatches all look like the first time
The Avengers,7/10,29 November 2023,superheroes unite
The Avengers,8/10,28 November 2023,a tale of two watches...
The Avengers,6/10,25 November 2023,Avengers - The start of an Era
The Avengers,10/10,22 October 2023,I love this movie!
The Avengers,2/10,18 October 2023,"Bad, Very Bad"
The Avengers,6/10,12 October 2023,Solid Marvel crossover epic
Star Wars: Episode IV - A New Hope,9/10,30 December 2023,The beginning of a great story...
Star Wars: Episode IV - A New Hope,7/10,28 December 2023,Star Wars on VHS: Review
Star Wars: Episode IV - A New Hope,9/10,26 December 2023,It is not just nostalgia
Star Wars: Episode IV - A New Hope,7/10,22 December 2023,Reduced
Star Wars: Episode IV - A New Hope,royalbet-188,19 December 2023,The Film Change My Mind
Star Wars: Episode IV - A New Hope,10/10,13 December 2023,The Saga Begins
Star Wars: Episode IV - A New Hope,7/10,11 December 2023,A star studded must see classic!
Star Wars: Episode IV - A New Hope,10/10,10 December 2023,Rekindled my love of movies
Star Wars: Episode IV - A New Hope,5/10,4 December 2023,The first big dumb summer blockbuster
Star Wars: Episode IV - A New Hope,9/10,28 November 2023,It's freakin' Star Wars! It's great.
Avatar,10/10,30 December 2023,Pretty incredible
Avatar,10/10,26 December 2023,"A Rare, Multidimensional Movie That Stems from Creative Genius Frequency"
Avatar,2/10,16 December 2023,OVER RATED
Avatar,9/10,15 December 2023,A 2009 SCI-FI FILM
Avatar,5/10,11 December 2023,Looks pretty
Avatar,5/10,9 December 2023,So much missed potential.
Avatar,10/10,4 December 2023,Cinema for marginals
Avatar,10/10,30 November 2023,"Shock & Awe....But in a Wondrously Mysterious, Magical and Even Spiritual Sense!"
Avatar,10/10,26 October 2023,Incredible movie through and through
Avatar,7/10,13 October 2023,Intended to be seen on 3D
Star Wars: Episode V - The Empire Strikes Back,10/10,2 January 2024,The best Star Wars film of all time
Star Wars: Episode V - The Empire Strikes Back,10/10,30 December 2023,"Darker and better than ""New hope"""
Star Wars: Episode V - The Empire Strikes Back,9/10,28 December 2023,The Empire Strikes Back: A Cinematic Masterpiece with Timeless Storytelling
Star Wars: Episode V - The Empire Strikes Back,9/10,26 December 2023,"""You are not a jedi yet...."""
Star Wars: Episode V - The Empire Strikes Back,10/10,20 December 2023,STAR WARS!!
Star Wars: Episode V - The Empire Strikes Back,9/10,17 December 2023,movie is the perfect merchant between silly and serious
Star Wars: Episode V - The Empire Strikes Back,10/10,12 December 2023,"Somehow, UNINTENTIONALLY Amazing!"
Star Wars: Episode V - The Empire Strikes Back,7/10,12 December 2023,The story continues...
Star Wars: Episode V - The Empire Strikes Back,9/10,12 December 2023,The GOAT from a Galaxy far far away
Star Wars: Episode V - The Empire Strikes Back,10/10,10 December 2023,A sequel that's better than the original
Guardians of the Galaxy,10/10,9 December 2023,Teamwork makes the dream work
Guardians of the Galaxy,9/10,5 December 2023,"Best Infinity Saga film so far, and finally arc-heavy"
Guardians of the Galaxy,8/10,11 November 2023,"Action, Comedy and Music"
Guardians of the Galaxy,8/10,5 November 2023,A Change Up in the MCU
Guardians of the Galaxy,6/10,12 October 2023,Funny but weak storytelling execution
Guardians of the Galaxy,7/10,5 October 2023,It's... Fine
Guardians of the Galaxy,8/10,28 September 2023,Amazing
Guardians of the Galaxy,10/10,28 September 2023,One Of the Best MCU Movies
Guardians of the Galaxy,4/10,24 September 2023,Brilliantly made borefest
Guardians of the Galaxy,1/10,18 September 2023,Appalling. No other words.
Avengers: Endgame,6/10,3 January 2024,I don't know how you're going to get it through all of that. Don't worry. She's got help.
Avengers: Endgame,5/10,2 January 2024,hyped not delivered
Avengers: Endgame,10/10,31 December 2023,"An Incredible ""End""game"
Avengers: Endgame,8/10,31 December 2023,"Where Infinity War is superlative, Endgame is merely good."
Avengers: Endgame,10/10,30 December 2023,its epic war
Avengers: Endgame,10/10,28 December 2023,"Not just a movie, an enthralling experience"
Avengers: Endgame,10/10,25 December 2023,"After Avengers Infinity War, we waited for the Avengers Endgame"
Avengers: Endgame,4/10,23 December 2023,Sorry
Avengers: Endgame,10/10,22 December 2023,Infinity war was much better but this is good too
Avengers: Endgame,2/10,21 December 2023,At last the End.
Léon: The Professional,4/10,2 January 2024,Why is this so highly-rated??
Léon: The Professional,WorldMovie99,1 January 2024,Strange film !
Léon: The Professional,4/10,24 December 2023,Laughably stupid
Léon: The Professional,4/10,14 December 2023,Loved It as a Teenager. Don't Know What Happened. BRILLIANT NATALIE PORTMAN!!!
Léon: The Professional,6/10,1 December 2023,Guns and a few glasses of milk.
Léon: The Professional,10/10,30 November 2023,Unforgettable experience
Léon: The Professional,9/10,23 November 2023,Shape of my heart...
Léon: The Professional,10/10,22 November 2023,Stop Saying ok All The Time ok?
Léon: The Professional,6/10,18 November 2023,"Not bad, just overrated"
Léon: The Professional,10/10,14 November 2023,My review
Pirates of the Caribbean: The Curse of the Black Pearl,1/10,29 December 2023,Insufferable
Pirates of the Caribbean: The Curse of the Black Pearl,6/10,25 December 2023,swashbuckling adventure story
Pirates of the Caribbean: The Curse of the Black Pearl,8/10,11 December 2023,I like it!
Pirates of the Caribbean: The Curse of the Black Pearl,8/10,5 December 2023,Jack Sparrow... Captain Jack Sparrow
Pirates of the Caribbean: The Curse of the Black Pearl,10/10,28 November 2023,Great movie :D
Pirates of the Caribbean: The Curse of the Black Pearl,10/10,23 November 2023,"Yo ho, A Pirate's Life for Me"
Pirates of the Caribbean: The Curse of the Black Pearl,10/10,12 November 2023,Classic
Pirates of the Caribbean: The Curse of the Black Pearl,8/10,27 October 2023,The first is still the best one in the series
Pirates of the Caribbean: The Curse of the Black Pearl,8/10,15 October 2023,X Marks the Spot
Pirates of the Caribbean: The Curse of the Black Pearl,10/10,6 October 2023,I can't even explain how GOOD this movie is. PERFECT.
Avengers: Infinity War,8/10,31 December 2023,Another awesome Avengers adventure!
Avengers: Infinity War,10/10,26 December 2023,I love it... so... much...
Avengers: Infinity War,8/10,25 December 2023,Goosebumps
Avengers: Infinity War,10/10,22 December 2023,8.4 ARE U KIDDING...ATLEAST A 9/10 Star.
Avengers: Infinity War,10/10,21 December 2023,The best at everything: but do previous MCU & avoid spoilers
Avengers: Infinity War,10/10,18 December 2023,The perfect movie if you remove the arrogance
Avengers: Infinity War,8/10,15 December 2023,The Real Epic Conclusion of the MCU's Early 21st Century
Avengers: Infinity War,8/10,13 December 2023,A perfect collaboration of years of filmaking
Avengers: Infinity War,10/10,13 December 2023,Every scene was breathtaking
Avengers: Infinity War,2/10,13 December 2023,Infinite Banality...
Kill Bill: Vol. 1,10/10,25 December 2023,Top notch action
Kill Bill: Vol. 1,10/10,21 December 2023,is good
Kill Bill: Vol. 1,9/10,9 December 2023,Absolute Excitement in a Ten Pound Bucket of Thrills
Kill Bill: Vol. 1,8/10,9 December 2023,The Theme of Revenge
Kill Bill: Vol. 1,8/10,1 December 2023,Still good 20 years later!
Kill Bill: Vol. 1,8/10,27 November 2023,vol 1
Kill Bill: Vol. 1,10/10,14 November 2023,Tarantino can do whatever he wants at this point
Kill Bill: Vol. 1,7/10,30 October 2023,This movie is very good because don't be leaving?
Kill Bill: Vol. 1,10/10,17 September 2023,One of the Best Movies I Have Ever Watched
Kill Bill: Vol. 1,7/10,15 September 2023,Bloody and exciting
V for Vendetta,7/10,20 December 2023,Great movie
V for Vendetta,7/10,15 December 2023,"Great ideas, much wasted potential"
V for Vendetta,8/10,10 December 2023,One of those movies that can be enjoyed without it's main source
V for Vendetta,9/10,8 December 2023,I love it!
V for Vendetta,10/10,16 November 2023,A Masterpiece
V for Vendetta,10/10,15 November 2023,Reflective of the real life we want to ignore
V for Vendetta,9/10,12 November 2023,Remember the 5th of November
V for Vendetta,10/10,5 November 2023,Remember Remember the 5th of November is definitely A Bloody Masterpiece!
V for Vendetta,10/10,5 November 2023,V for Vendetta
V for Vendetta,7/10,28 October 2023,Really good... for a dystopian
Interstellar,10/10,3 January 2024,"Hands down, best film ever created."
Interstellar,8/10,3 January 2024,"Interstellar: Nolan's Cosmic Odyssey Earns an 8/10 for Visual Spectacle, Emotional Depth, and a Journey Beyond the Stars."
Interstellar,10/10,2 January 2024,"All in all, phenomenal!"
Interstellar,5/10,1 January 2024,It looks good
Interstellar,10/10,27 December 2023,most incredible film ever
Interstellar,8/10,27 December 2023,really intriguing
Interstellar,5/10,27 December 2023,I'm sorry. Dumb.
Interstellar,8/10,25 December 2023,The IMAX Experience
Interstellar,3/10,24 December 2023,Dull and Absurd
Interstellar,10/10,18 December 2023,Interstellar is the best film in Nolan's filmography?
Inglourious Basterds,10/10,30 December 2023,Tarantino's best?
Inglourious Basterds,10/10,25 December 2023,One of the best films I ever watched.Such a good story
Inglourious Basterds,7/10,25 December 2023,"I love Tarantino and I watch what ever he makes, but"
Inglourious Basterds,10/10,15 December 2023,Quentin's Masterpiece
Inglourious Basterds,10/10,11 December 2023,One of Tarantino's Best
Inglourious Basterds,9/10,10 December 2023,"""Who wants' to send a message to Germany?"""
Inglourious Basterds,10/10,6 December 2023,"""Inglourious Basterds"" is a cinematic masterpiece"
Inglourious Basterds,7/10,30 November 2023,good
Inglourious Basterds,10/10,30 November 2023,Exceptional
Inglourious Basterds,8/10,29 November 2023,A distinct but incredibly good experience.
Back to the Future,9/10,1 January 2024,Back to the Future (1985)
Back to the Future,9/10,1 January 2024,Back to the Future (1985) An eternal classic
Back to the Future,10/10,31 December 2023,Back to the Future - Movie Review
Back to the Future,9/10,29 December 2023,Back to the Future (1985): A Timeless Adventure That Transcends Generations - A Perfect Blend of Fun and Heart
Back to the Future,9/10,23 December 2023,Utterly brilliant
Back to the Future,8/10,20 December 2023,those were the days
Back to the Future,10/10,18 December 2023,Classic Inspiring Movie.
Back to the Future,6/10,13 December 2023,Another Overrated Sci-Fi Adventure Comedy Classic
Back to the Future,10/10,13 December 2023,VB
Back to the Future,9/10,18 November 2023,I love it!
WALL·E,9/10,30 December 2023,One of the bravest and most unique Pixar films
WALL·E,10/10,22 December 2023,An amazing MOVI-E
WALL·E,9/10,15 December 2023,I love it!
WALL·E,4/10,14 December 2023,"That's an Old Rating. If I Watch This Movie Again, I Will Probably Hit Myself!"
WALL·E,8/10,8 December 2023,I love
WALL·E,9/10,3 December 2023,A Galactic Love Story
WALL·E,10/10,24 November 2023,Just perfect
WALL·E,10/10,16 November 2023,IT'S PERECT. Please don't make a sequel. Please?
WALL·E,10/10,12 November 2023,First cartoon movie I've ever see.
WALL·E,10/10,9 November 2023,Excellent film ahead of its time!
The Lion King,10/10,29 December 2023,My favorite cartoon!
The Lion King,9/10,24 December 2023,A Timeless Animated Masterpiece with Emotional Depth
The Lion King,10/10,14 December 2023,Probably The Best Animated Feature. Probably. Beautiful and Amazing!
The Lion King,8/10,14 December 2023,King
The Lion King,10/10,11 December 2023,Only a few minor quibbles for a modern classic.
The Lion King,10/10,8 December 2023,Classic Comedy Gold
The Lion King,10/10,8 December 2023,The Lion King
The Lion King,9/10,24 November 2023,Timeless masterpiece
The Lion King,8/10,22 November 2023,The Lion King
The Lion King,10/10,18 November 2023,Long Live the King
Iron Man,8/10,2 January 2024,We Need More Superhero Films Like Iron Man
Iron Man,7/10,24 December 2023,A great beginning
Iron Man,10/10,13 December 2023,This is where mcu began
Iron Man,10/10,12 December 2023,"You've got to have heart, Tony Stark does/did/does."
Iron Man,9/10,7 December 2023,"A Stellar Origin Tale of Genius, Wit, and Superhero Evolution"
Iron Man,10/10,4 December 2023,Just awesome
Iron Man,10/10,29 November 2023,I Love Iron Man
Iron Man,7/10,15 November 2023,Doing the MCU after all...good start!
Iron Man,8/10,4 November 2023,Marvel gets it right with this superhero hit
Iron Man,10/10,2 November 2023,The Most Important Marvel Movie
Up,10/10,19 December 2023,"A beautiful, creative and wonderfully written story."
Up,7/10,7 December 2023,Up
Up,7/10,30 November 2023,good
Up,10/10,14 November 2023,Perfect
Up,10/10,14 November 2023,Emotional
Up,10/10,18 October 2023,Pixar at its finest
Up,8/10,15 October 2023,"Of unexpected servants, joy found where you don't look for it and different approaches to pets"
Up,10/10,14 October 2023,"A movie that makes you cry, laugh and everything in between."
Up,10/10,13 October 2023,Life in itself can be an interesting theme in itself
Up,7/10,9 October 2023,An Outstanding Film Lifted By Disney
Star Wars: Episode VI - Return of the Jedi,9/10,30 December 2023,I love this trilogy
Star Wars: Episode VI - Return of the Jedi,7/10,26 December 2023,The weakest of the tribology
Star Wars: Episode VI - Return of the Jedi,10/10,17 December 2023,The Perfect Finale of Everything!
Star Wars: Episode VI - Return of the Jedi,7/10,17 December 2023,Princess Leia in the gold bikini!
Star Wars: Episode VI - Return of the Jedi,8/10,7 December 2023,Great fodder for discussion of Good and Evil
Star Wars: Episode VI - Return of the Jedi,10/10,6 November 2023,Very nice
Star Wars: Episode VI - Return of the Jedi,7/10,29 October 2023,Return of the Jedi (1983) A fun ending
Star Wars: Episode VI - Return of the Jedi,7/10,4 October 2023,The Big finale
Star Wars: Episode VI - Return of the Jedi,8/10,2 October 2023,So emotional and great
Star Wars: Episode VI - Return of the Jedi,8/10,2 September 2023,40th Anniversary
Finding Nemo,8/10,24 December 2023,A Children's Movie That's Still Very Good
Finding Nemo,10/10,18 December 2023,The best Pixar Movie ever !
Finding Nemo,9/10,15 November 2023,A classic from Disney Pixar.
Finding Nemo,8/10,13 November 2023,All around a great film
Finding Nemo,6/10,30 October 2023,A Fine Animated Film By Disney
Finding Nemo,8/10,26 October 2023,Awesome journey
Finding Nemo,10/10,26 October 2023,Father's love is just amazing
Finding Nemo,10/10,24 October 2023,Totally amazing
Finding Nemo,8/10,22 October 2023,Pixar Greatness Strikes Again!
Finding Nemo,10/10,7 October 2023,"Great As A Kid, Fantastic As An Adult."
Toy Story,9/10,27 December 2023,I love it.
Toy Story,7/10,15 December 2023,Funny. Adventurous. And Two Really Epic Lead Characters.
Toy Story,8/10,10 December 2023,Superb initiation from Pixar
Toy Story,10/10,5 November 2023,Best toy movie ever
Toy Story,7/10,26 October 2023,A Disney Classic
Toy Story,8/10,26 October 2023,You are what you think you are
Toy Story,9/10,17 October 2023,One of the Best Animated Movies
Toy Story,5/10,10 October 2023,Slow Start to a Spectacular Series
Toy Story,8/10,19 September 2023,MUST SEE
Toy Story,10/10,12 September 2023,One of the greatest movies ever made
"Monsters, Inc.",7/10,7 December 2023,"Monsters, Inc."
"Monsters, Inc.",10/10,28 November 2023,A Pixar Masterpiece that Transcends Generations
"Monsters, Inc.",10/10,13 November 2023,Timeless and Endlessly Rewatchable
"Monsters, Inc.",6/10,5 November 2023,A Monstrous Disney Animated Film
"Monsters, Inc.",9/10,2 November 2023,"Mike said, don't give it a name, just give it a name and you'll have feelings."
"Monsters, Inc.",9/10,29 October 2023,Article of Incorporation
"Monsters, Inc.",8/10,21 October 2023,Boo to you
"Monsters, Inc.",9/10,20 October 2023,Don't soften on us now!
"Monsters, Inc.",7/10,17 October 2023,"Although I do not like this movie very much, it still moved me."
"Monsters, Inc.",4/10,4 October 2023,"Parts of a Lazily Adapted, High-Concept ""What if...?"" Idea for 90 Minutes"
Toy Story 3,9/10,27 December 2023,So funny and smartly written
Toy Story 3,8/10,17 December 2023,I Do Remember It Was a Fun and Lovable Cute One :)
Toy Story 3,10/10,10 December 2023,Animated Masterpiece
Toy Story 3,8/10,5 November 2023,"We do a lot of improv here. Just stay loose, have fun - you'll be fine!"
Toy Story 3,9/10,2 November 2023,they are my most precious memories.
Toy Story 3,7/10,30 October 2023,Good Movie
Toy Story 3,4/10,12 October 2023,A Remake of Toy Story 2 That is Revered for No Discernible Reason
Toy Story 3,7/10,11 October 2023,The Storyline Was A Bit Too Much For This Instalment
Toy Story 3,10/10,30 September 2023,The Perfect Way to End the Trilogy...Yes to END
Toy Story 3,8/10,13 September 2023,A lot better than I expected
Spirited Away,10/10,31 December 2023,Erie and sublime
Spirited Away,10/10,28 December 2023,nothing better than this
Spirited Away,10/10,26 December 2023,best movie ever
Spirited Away,10/10,20 December 2023,masterpiece movie
Spirited Away,8/10,17 December 2023,Convoluted plot in a magical world
Spirited Away,8/10,17 December 2023,Convoluted plot in a magical world
Spirited Away,9/10,12 December 2023,Better than expected
Spirited Away,10/10,8 December 2023,Up there with My Neighbor Totoro
Spirited Away,8/10,8 December 2023,fascinating
Spirited Away,10/10,29 November 2023,Simply the best movie of all time.
Ratatouille,10/10,25 December 2023,A sprinkle of culinary magic
Ratatouille,1/10,12 December 2023,Just tried the food Ratatouille today
Ratatouille,7/10,29 November 2023,"I'm tremendous, but incomplete"
Ratatouille,10/10,29 October 2023,A Culinary Masterpiece
Ratatouille,8/10,21 October 2023,A Weird But A Good Movie
Ratatouille,5/10,17 October 2023,Boring and directionless
Ratatouille,10/10,16 October 2023,"The Perfect Blend of Storytelling, Animation, and Enjoyment: Ratatouille is a Must-Watch Masterpiece!"
Ratatouille,8/10,13 October 2023,"Perfect Duo, Rat And Kitchen"
Ratatouille,7/10,9 October 2023,A Nice Meal of a Disney Film
Ratatouille,9/10,6 October 2023,Anyone Can Cook!!!!
The Incredibles,9/10,10 December 2023,A timeless masterpiece
The Incredibles,10/10,5 November 2023,It is Incredible
The Incredibles,7/10,5 November 2023,Good not great (for me)
The Incredibles,6/10,31 October 2023,Alright Disney Superhero Film
The Incredibles,7/10,14 October 2023,the incredibles is an incredible movie that has to be seen to be beleived
The Incredibles,10/10,5 October 2023,A wonderful movie that makes you feel incredible.
The Incredibles,9/10,27 September 2023,It was incredible!
The Incredibles,7/10,19 September 2023,loved this animation
The Incredibles,8/10,11 September 2023,I'll Say it...It's Incredible
The Incredibles,9/10,29 August 2023,An excellent fun action movie
How to Train Your Dragon,5/10,2 January 2024,I have seen the same movie hundreds of times
How to Train Your Dragon,5/10,7 December 2023,Stop dragon my heart around
How to Train Your Dragon,8/10,4 December 2023,Dragon
How to Train Your Dragon,10/10,20 October 2023,Arguably my forever favorite movie
How to Train Your Dragon,9/10,19 October 2023,and it will be successful
How to Train Your Dragon,8/10,10 October 2023,"""I wouldn't kill him, because he looked as frightened as I was. I looked at him... and I saw myself."""
How to Train Your Dragon,7/10,1 October 2023,Fabulous Film To Begin A Fine Fantasy Animated Franchise
How to Train Your Dragon,7/10,9 September 2023,What are we to do About the DRAGON! THE DRAGON!
How to Train Your Dragon,7/10,28 August 2023,A terrific movie fun for everyone
How to Train Your Dragon,10/10,22 August 2023,Magnific
Inside Out,9/10,30 December 2023,The last great Pixar movie
Inside Out,9/10,28 December 2023,Pixar's return to work
Inside Out,10/10,18 December 2023,Amazing
Inside Out,10/10,11 December 2023,Relatable yet creative
Inside Out,10/10,2 December 2023,A wonderful movie
Inside Out,10/10,26 November 2023,Best Pixar's standards
Inside Out,10/10,24 November 2023,Masterpiece.
Inside Out,10/10,16 November 2023,Very good to watch
Inside Out,9/10,14 November 2023,One of the Last Good Pixar Movies
Inside Out,7/10,11 November 2023,Super original and entertaining
Shrek,7/10,26 December 2023,"Funny yet strangely sincere, very well made."
Shrek,9/10,19 December 2023,"Shrek love, Shrek is life."
Shrek,8/10,13 December 2023,"Shrek is Love, Shrek is Life"
Shrek,6/10,6 October 2023,Good Beginning to a Nicely Made Franchise
Shrek,10/10,3 October 2023,My most favourite DreamWorks Animation film all the time
Shrek,10/10,23 September 2023,"SHREK IS LOVE , SHREK IS LIFE"
Shrek,10/10,8 September 2023,Classic
Shrek,7/10,2 September 2023,Shrek
Shrek,7/10,1 September 2023,Somebody Once Told Me...
Shrek,8/10,23 August 2023,The perfect Anti-Disney
Frozen,1/10,1 January 2024,A bad film
Frozen,7/10,27 December 2023,Let it go and snow
Frozen,8/10,23 December 2023,10 Years Since this Smash Hit Soared
Frozen,8/10,18 December 2023,Let it go!!!
Frozen,1/10,6 November 2023,Overhated
Frozen,7/10,14 October 2023,Cool Storyline
Frozen,10/10,23 August 2023,Awesome
Frozen,6/10,24 July 2023,"It's Good, Not Great, Just Let it Go"
Frozen,7/10,22 July 2023,Entertaining and original
Frozen,10/10,18 July 2023,Best Movie Ever!!!!!
Spider-Man: Into the Spider-Verse,8/10,29 December 2023,Decent but not amazing
Spider-Man: Into the Spider-Verse,7/10,21 December 2023,[7.2] I hate the Spider-Verse
Spider-Man: Into the Spider-Verse,9/10,16 December 2023,A good Superhero Origin that incorporates Multiversal Aspects
Spider-Man: Into the Spider-Verse,4/10,15 December 2023,"Great Visuals, Boring Story; Weak Characters"
Spider-Man: Into the Spider-Verse,10/10,10 December 2023,I would rate it more if I could!
Spider-Man: Into the Spider-Verse,10/10,5 December 2023,Change.
